Date,Price,Open,High,Low,Vol.,Change %
2020-09-28,34.66,34.92,35.84,34.49,-,-0.7
2020-09-29,35.25,34.58,36.49,34.58,-,1.7
2020-09-30,35.42,35.25,35.44,34.07,-,0.4
2020-10-01,34.99,35.4,36.36,34.23,-,-1.2
2020-10-02,36.44,36.89,37.18,35.68,-,4.1
2020-10-05,35.67,36.44,37.06,35.36,-,-2.1
2020-10-06,36.67,35.67,37.12,34.83,-,2.8
2020-10-07,35.61,35.99,36.14,35.17,-,-2.8
2020-10-08,34.43,35.61,35.61,34.31,-,-3.3
2020-10-09,32.6,34.42,34.42,32.34,-,-5.3
2020-10-12,33.44,32.58,34.74,32.1,-,2.5
2020-10-13,34.48,33.3,35.19,33.3,-,3.1
2020-10-14,34.04,34.49,35.33,33.67,-,-1.2
2020-10-15,34.54,35.19,35.7,34.34,-,1.4
2020-10-16,35.02,34.54,35.19,33.1,-,1.3
2020-10-19,36.14,35.02,36.52,35.02,-,3.2
2020-10-20,35.25,36.16,36.47,34.61,-,-2.4
2020-10-21,35.08,35.24,35.8,34.45,-,-0.4
2020-10-22,34.28,35.06,36.14,33.95,-,-2.2
2020-10-23,33.45,34.29,34.64,33.4,-,-2.4
2020-10-26,37.41,33.46,38.8,33.46,-,11.8
2020-10-27,36.56,37.43,37.64,36.04,-,-2.2
2020-10-28,43.39,36.54,43.45,36.54,-,18.6
2020-10-29,40.08,43.42,43.42,39.12,-,-7.6
2020-10-30,41.3,40.69,43.01,39.94,-,3.0
2020-11-02,40.9,41.3,42.92,39.95,-,-0.9
2020-11-03,38.38,40.87,40.88,37.62,-,-6.1
2020-11-04,33.36,38.36,38.36,31.71,-,-13.0
2020-11-05,32.82,33.36,34.15,31.81,-,-1.6
2020-11-06,30.01,32.74,33.57,30.01,-,-8.5
2020-11-09,31.32,30.06,31.33,28.75,-,4.3
2020-11-10,32.53,31.64,33.58,31.08,-,3.8
2020-11-11,30.29,32.53,32.53,30.1,-,-6.8
2020-11-12,30.91,30.27,32.62,30.15,-,2.0
2020-11-13,29.03,30.87,30.87,29.03,-,-6.0
2020-11-16,27.37,29.98,30.04,27.29,-,-5.7
2020-11-17,27.31,27.87,29.02,27.08,-,-0.2
2020-11-18,27.47,27.23,27.53,26.05,-,0.5
2020-11-19,26.81,27.45,28.05,26.62,-,-2.4
2020-11-20,26.91,26.8,27.3,25.97,-,0.3
2020-11-23,26.64,27.17,28.34,26.33,-,-1.0
2020-11-24,25.99,26.58,27.2,25.87,-,-2.4
2020-11-25,25.69,25.99,26.47,25.5,-,-1.1
2020-11-27,26.12,25.72,26.93,25.72,-,1.6
2020-11-30,26.68,27.21,28.75,26.61,-,2.1
2020-12-01,27.41,26.67,27.6,26.5,-,2.7
2020-12-02,27.55,27.41,28.0,27.25,-,0.5
2020-12-03,27.39,27.53,27.81,26.96,-,-0.5
2020-12-04,27.02,27.4,27.44,26.72,-,-1.3
2020-12-07,27.2,27.01,28.1,26.94,-,0.6
2020-12-08,26.08,27.31,27.6,26.07,-,-4.1
2020-12-09,29.32,26.08,29.78,25.46,-,12.4
2020-12-10,29.15,29.33,30.26,28.24,-,-0.5
2020-12-11,29.0,29.16,31.32,28.91,-,-0.5
2020-12-14,29.44,28.6,29.47,27.83,-,1.5
2020-12-15,28.1,29.47,29.47,27.64,-,-4.5
2020-12-16,27.85,28.1,28.65,27.32,-,-0.8
2020-12-17,27.04,27.87,27.87,26.92,-,-2.9
2020-12-18,26.91,27.17,28.68,26.88,-,-0.4
2020-12-21,28.35,30.17,32.29,27.92,-,5.3
2020-12-22,27.94,28.35,30.0,27.83,-,-1.4
2020-12-23,27.33,27.63,27.88,26.38,-,-2.1
2020-12-24,25.94,27.33,27.33,25.94,-,-5.0
2020-12-28,25.91,26.77,26.84,25.64,-,-0.1
2020-12-29,26.82,25.75,27.59,25.48,-,3.5
2020-12-30,26.29,26.83,27.07,26.26,-,-1.9
2020-12-31,26.93,26.28,27.2,26.03,-,2.4
2021-01-04,30.13,27.64,32.65,27.62,-,11.8
2021-01-05,28.42,30.12,30.85,28.35,-,-5.6
2021-01-06,29.27,28.48,30.21,25.95,-,2.9
2021-01-07,26.99,29.25,29.25,26.34,-,-7.7
2021-01-08,27.93,27.03,28.54,26.49,-,3.4
2021-01-11,28.92,29.6,29.93,28.02,-,3.5
2021-01-12,28.33,28.19,29.81,27.79,-,-2.0
2021-01-13,27.36,28.27,28.54,26.83,-,-3.4
2021-01-14,28.55,27.32,28.55,26.65,-,4.3
2021-01-15,29.17,28.63,31.11,28.07,-,2.1
2021-01-19,27.71,28.15,29.22,27.59,-,-5.0
2021-01-20,26.79,26.26,27.4,26.23,-,-3.3
2021-01-21,27.01,26.27,27.96,26.23,-,0.8
2021-01-22,28.07,27.76,28.42,27.3,-,3.9
2021-01-25,28.73,28.17,31.45,28.05,-,2.3
2021-01-26,29.2,28.56,29.79,28.51,-,1.6
2021-01-27,39.61,32.22,39.61,31.0,-,35.6
2021-01-28,35.05,39.61,39.61,32.09,-,-11.5
2021-01-29,37.44,35.02,40.53,34.07,-,6.8
2021-02-01,34.24,33.98,37.02,32.81,-,-8.5
2021-02-02,29.49,32.0,32.0,29.16,-,-13.8
2021-02-03,29.03,28.03,29.93,28.03,-,-1.5
2021-02-04,27.09,29.05,29.05,26.82,-,-6.6
2021-02-05,25.46,27.09,27.58,25.34,-,-6.0
2021-02-08,26.18,26.23,26.66,25.98,-,2.8
2021-02-09,26.6,26.16,27.07,25.96,-,1.6
2021-02-10,27.41,26.6,28.89,26.3,-,3.0
2021-02-11,27.07,27.41,28.75,26.58,-,-1.2
2021-02-12,26.36,27.11,27.75,25.61,-,-2.6
2021-02-16,28.52,26.97,30.08,26.6,-,8.1
2021-02-17,28.26,28.52,30.8,27.74,-,-0.9
2021-02-18,27.59,28.25,30.63,27.04,-,-2.3
2021-02-19,27.74,27.73,28.58,25.8,-,0.5
2021-02-22,31.02,27.67,31.02,27.67,-,11.8
2021-02-23,30.62,30.95,35.93,29.48,-,-1.2
2021-02-24,28.67,32.28,33.14,28.67,-,-6.3
2021-02-25,36.16,28.67,37.17,28.67,-,26.1
2021-02-26,34.06,35.93,37.06,31.58,-,-5.8
2021-03-01,28.67,33.84,33.84,28.66,-,-15.8
2021-03-02,30.11,28.66,30.57,28.54,-,5.0
2021-03-03,33.92,30.11,34.8,30.11,-,12.6
2021-03-04,34.83,33.92,37.86,32.2,-,2.6
2021-03-05,31.89,34.83,37.34,31.39,-,-8.4
2021-03-08,33.87,31.86,34.8,31.86,-,6.2
2021-03-09,32.15,33.87,33.87,30.95,-,-5.0
2021-03-10,31.52,32.17,32.39,30.57,-,-1.9
2021-03-11,30.04,31.51,31.51,29.72,-,-4.7
2021-03-12,30.1,30.06,32.25,30.03,-,0.2
2021-03-15,28.72,30.72,30.99,28.52,-,-4.5
2021-03-16,29.27,27.11,29.87,27.11,-,1.9
2021-03-17,27.98,30.53,31.29,27.98,-,-4.4
2021-03-18,30.61,27.98,32.2,27.98,-,9.4
2021-03-19,29.65,30.64,32.64,29.06,-,-3.1
2021-03-22,26.7,29.8,29.8,26.7,-,-9.9
2021-03-23,27.83,26.7,28.34,26.33,-,4.2
2021-03-24,28.97,27.86,29.3,26.98,-,4.1
2021-03-25,27.63,29.77,30.58,27.61,-,-4.6
2021-03-26,25.64,27.66,28.7,25.27,-,-7.2
2021-03-29,26.94,26.96,28.29,26.57,-,5.0
2021-03-30,26.39,26.94,28.8,26.34,-,-2.0
2021-03-31,24.89,26.39,26.49,24.7,-,-5.6
2021-04-01,23.21,24.85,24.85,23.16,-,-6.7
2021-04-05,23.93,23.2,24.69,23.2,-,3.1
2021-04-06,23.86,23.93,24.4,23.51,-,-0.2
2021-04-07,23.43,23.87,24.06,23.39,-,-1.8
2021-04-08,23.49,23.44,24.24,23.06,-,0.2
2021-04-09,23.23,23.49,24.13,23.02,-,-1.1
2021-04-12,22.49,23.25,23.73,22.29,-,-3.1
2021-04-13,22.11,22.49,22.69,21.98,-,-1.6
2021-04-14,22.64,22.46,23.31,22.21,-,2.4
